date,time,day,incident,min_delay
2022-01-01T00:00:00Z,09:03:00,Saturday,Mechanical,10
2022-01-01T00:00:00Z,09:10:00,Saturday,Operations - Operator,20
2022-01-01T00:00:00Z,09:12:00,Saturday,Mechanical,10
2022-01-01T00:00:00Z,09:39:00,Saturday,Operations - Operator,7
2022-01-01T00:00:00Z,09:49:00,Saturday,Mechanical,10
2022-01-01T00:00:00Z,10:11:00,Saturday,Mechanical,10
2022-01-01T00:00:00Z,10:21:00,Saturday,Operations - Operator,16
2022-01-01T00:00:00Z,10:27:00,Saturday,Mechanical,12
2022-01-01T00:00:00Z,10:35:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,10:35:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,10:49:00,Saturday,Cleaning - Unsanitary,10
2022-01-01T00:00:00Z,11:11:00,Saturday,Mechanical,12
2022-01-01T00:00:00Z,11:17:00,Saturday,Security,30
2022-01-01T00:00:00Z,11:32:00,Saturday,Mechanical,15
2022-01-01T00:00:00Z,11:34:00,Saturday,Operations - Operator,12
2022-01-01T00:00:00Z,11:35:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,11:46:00,Saturday,Cleaning - Unsanitary,24
2022-01-01T00:00:00Z,12:18:00,Saturday,Operations - Operator,6
2022-01-01T00:00:00Z,12:18:00,Saturday,Operations - Operator,6
2022-01-01T00:00:00Z,12:21:00,Saturday,Security,11
2022-01-01T00:00:00Z,12:23:00,Saturday,Operations - Operator,20
2022-01-01T00:00:00Z,12:25:00,Saturday,Utilized Off Route,12
2022-01-01T00:00:00Z,12:27:00,Saturday,Utilized Off Route,11
2022-01-01T00:00:00Z,12:28:00,Saturday,Operations - Operator,22
2022-01-01T00:00:00Z,12:28:00,Saturday,Utilized Off Route,20
2022-01-01T00:00:00Z,12:30:00,Saturday,Operations - Operator,20
2022-01-01T00:00:00Z,12:31:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,12:33:00,Saturday,Security,20
2022-01-01T00:00:00Z,12:35:00,Saturday,Operations - Operator,18
2022-01-01T00:00:00Z,12:38:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,12:50:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,13:03:00,Saturday,Security,17
2022-01-01T00:00:00Z,13:10:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,13:15:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,13:15:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,13:20:00,Saturday,Operations - Operator,25
2022-01-01T00:00:00Z,13:25:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,13:36:00,Saturday,Mechanical,13
2022-01-01T00:00:00Z,13:45:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,13:46:00,Saturday,Operations - Operator,20
2022-01-01T00:00:00Z,13:49:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,13:50:00,Saturday,Operations - Operator,6
2022-01-01T00:00:00Z,13:55:00,Saturday,Mechanical,8
2022-01-01T00:00:00Z,13:58:00,Saturday,Operations - Operator,15
2022-01-01T00:00:00Z,13:59:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,14:00:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,14:08:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,14:15:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,14:15:00,Saturday,Operations - Operator,23
2022-01-01T00:00:00Z,14:34:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,14:43:00,Saturday,Utilized Off Route,18
2022-01-01T00:00:00Z,14:48:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,14:59:00,Saturday,Vision,12
2022-01-01T00:00:00Z,14:59:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,15:04:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,15:13:00,Saturday,Mechanical,12
2022-01-01T00:00:00Z,15:25:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,15:45:00,Saturday,Operations - Operator,26
2022-01-01T00:00:00Z,16:22:00,Saturday,Mechanical,6
2022-01-01T00:00:00Z,16:37:00,Saturday,Utilized Off Route,8
2022-01-01T00:00:00Z,16:44:00,Saturday,Mechanical,24
2022-01-01T00:00:00Z,17:00:00,Saturday,Operations - Operator,30
2022-01-01T00:00:00Z,17:31:00,Saturday,Cleaning - Unsanitary,15
2022-01-01T00:00:00Z,17:31:00,Saturday,Mechanical,18
2022-01-01T00:00:00Z,17:44:00,Saturday,Mechanical,24
2022-01-01T00:00:00Z,17:45:00,Saturday,Road Blocked - NON-TTC Collision,36
2022-01-01T00:00:00Z,17:52:00,Saturday,Security,25
2022-01-01T00:00:00Z,18:00:00,Saturday,Mechanical,20
2022-01-01T00:00:00Z,18:22:00,Saturday,Operations - Operator,8
2022-01-01T00:00:00Z,18:35:00,Saturday,Mechanical,4
2022-01-01T00:00:00Z,18:43:00,Saturday,Operations - Operator,7
2022-01-01T00:00:00Z,19:03:00,Saturday,Operations - Operator,25
2022-01-01T00:00:00Z,19:07:00,Saturday,Operations - Operator,29
2022-01-01T00:00:00Z,19:15:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,19:35:00,Saturday,Operations - Operator,24
2022-01-01T00:00:00Z,19:44:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,19:44:00,Saturday,Operations - Operator,9
2022-01-01T00:00:00Z,19:46:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,20:10:00,Saturday,Operations - Operator,9
2022-01-01T00:00:00Z,20:13:00,Saturday,Collision - TTC,10
2022-01-01T00:00:00Z,20:17:00,Saturday,Emergency Services,20
2022-01-01T00:00:00Z,20:29:00,Saturday,Utilized Off Route,10
2022-01-01T00:00:00Z,20:50:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,20:51:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,20:53:00,Saturday,Mechanical,10
2022-01-01T00:00:00Z,20:55:00,Saturday,Operations - Operator,20
2022-01-01T00:00:00Z,21:17:00,Saturday,Cleaning - Unsanitary,8
2022-01-01T00:00:00Z,21:31:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,21:37:00,Saturday,Operations - Operator,20
2022-01-01T00:00:00Z,22:04:00,Saturday,Mechanical,15
2022-01-01T00:00:00Z,22:49:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,22:49:00,Saturday,Operations - Operator,10
2022-01-01T00:00:00Z,23:04:00,Saturday,Mechanical,9
2022-01-01T00:00:00Z,23:34:00,Saturday,Security,10
2022-01-01T00:00:00Z,23:49:00,Saturday,Mechanical,10
2022-01-01T00:00:00Z,00:28:00,Saturday,Operations - Operator,22
2022-01-01T00:00:00Z,00:57:00,Saturday,Utilized Off Route,15
2022-01-01T00:00:00Z,01:03:00,Saturday,Collision - TTC,10
2022-01-01T00:00:00Z,01:12:00,Saturday,General Delay,25
2022-01-01T00:00:00Z,01:32:00,Saturday,Operations - Operator,15
2022-01-01T00:00:00Z,01:35:00,Saturday,Operations - Operator,18
2022-01-01T00:00:00Z,01:48:00,Saturday,Operations - Operator,30
2022-01-02T00:00:00Z,02:01:00,Sunday,Security,30
2022-01-02T00:00:00Z,02:10:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,02:12:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,02:57:00,Sunday,Security,11
2022-01-02T00:00:00Z,02:58:00,Sunday,Security,8
2022-01-02T00:00:00Z,03:57:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,04:52:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,05:14:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,05:35:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,05:40:00,Sunday,Operations - Operator,24
2022-01-02T00:00:00Z,05:42:00,Sunday,Operations - Operator,28
2022-01-02T00:00:00Z,05:58:00,Sunday,Mechanical,30
2022-01-02T00:00:00Z,06:04:00,Sunday,Operations - Operator,24
2022-01-02T00:00:00Z,06:22:00,Sunday,Operations - Operator,12
2022-01-02T00:00:00Z,06:22:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,07:21:00,Sunday,Operations - Operator,33
2022-01-02T00:00:00Z,07:24:00,Sunday,Operations - Operator,13
2022-01-02T00:00:00Z,07:33:00,Sunday,Operations - Operator,6
2022-01-02T00:00:00Z,07:35:00,Sunday,General Delay,20
2022-01-02T00:00:00Z,07:40:00,Sunday,Operations - Operator,8
2022-01-02T00:00:00Z,07:44:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,07:45:00,Sunday,Operations - Operator,20
2022-01-02T00:00:00Z,07:45:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,07:46:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,07:47:00,Sunday,Operations - Operator,20
2022-01-02T00:00:00Z,07:49:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,07:50:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,07:53:00,Sunday,Operations - Operator,20
2022-01-02T00:00:00Z,07:54:00,Sunday,Operations - Operator,27
2022-01-02T00:00:00Z,08:30:00,Sunday,Mechanical,13
2022-01-02T00:00:00Z,09:32:00,Sunday,Mechanical,22
2022-01-02T00:00:00Z,09:36:00,Sunday,Collision - TTC,10
2022-01-02T00:00:00Z,09:42:00,Sunday,Mechanical,20
2022-01-02T00:00:00Z,09:43:00,Sunday,Security,10
2022-01-02T00:00:00Z,09:57:00,Sunday,Mechanical,9
2022-01-02T00:00:00Z,10:20:00,Sunday,Operations - Operator,18
2022-01-02T00:00:00Z,10:54:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,10:54:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,11:17:00,Sunday,Collision - TTC,20
2022-01-02T00:00:00Z,11:22:00,Sunday,Diversion,80
2022-01-02T00:00:00Z,12:30:00,Sunday,Mechanical,16
2022-01-02T00:00:00Z,12:46:00,Sunday,Operations - Operator,6
2022-01-02T00:00:00Z,12:52:00,Sunday,Mechanical,6
2022-01-02T00:00:00Z,13:02:00,Sunday,Mechanical,8
2022-01-02T00:00:00Z,13:23:00,Sunday,Mechanical,8
2022-01-02T00:00:00Z,13:26:00,Sunday,Mechanical,8
2022-01-02T00:00:00Z,13:30:00,Sunday,General Delay,20
2022-01-02T00:00:00Z,13:34:00,Sunday,Operations - Operator,26
2022-01-02T00:00:00Z,13:39:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,13:42:00,Sunday,Vision,16
2022-01-02T00:00:00Z,13:46:00,Sunday,Mechanical,19
2022-01-02T00:00:00Z,14:00:00,Sunday,Mechanical,12
2022-01-02T00:00:00Z,14:01:00,Sunday,Cleaning - Unsanitary,19
2022-01-02T00:00:00Z,14:09:00,Sunday,Mechanical,11
2022-01-02T00:00:00Z,14:15:00,Sunday,Utilized Off Route,8
2022-01-02T00:00:00Z,14:21:00,Sunday,Mechanical,8
2022-01-02T00:00:00Z,14:29:00,Sunday,Mechanical,12
2022-01-02T00:00:00Z,14:29:00,Sunday,Mechanical,4
2022-01-02T00:00:00Z,14:36:00,Sunday,Mechanical,11
2022-01-02T00:00:00Z,14:43:00,Sunday,Mechanical,4
2022-01-02T00:00:00Z,14:51:00,Sunday,Operations - Operator,24
2022-01-02T00:00:00Z,14:51:00,Sunday,Operations - Operator,15
2022-01-02T00:00:00Z,14:52:00,Sunday,Mechanical,15
2022-01-02T00:00:00Z,15:06:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,15:07:00,Sunday,Operations - Operator,11
2022-01-02T00:00:00Z,15:08:00,Sunday,Mechanical,7
2022-01-02T00:00:00Z,15:11:00,Sunday,Mechanical,15
2022-01-02T00:00:00Z,15:16:00,Sunday,Operations - Operator,22
2022-01-02T00:00:00Z,15:26:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,15:34:00,Sunday,Mechanical,4
2022-01-02T00:00:00Z,15:48:00,Sunday,Operations - Operator,16
2022-01-02T00:00:00Z,15:48:00,Sunday,Operations - Operator,16
2022-01-02T00:00:00Z,15:48:00,Sunday,Operations - Operator,16
2022-01-02T00:00:00Z,16:01:00,Sunday,Operations - Operator,17
2022-01-02T00:00:00Z,16:09:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,16:20:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,16:23:00,Sunday,Operations - Operator,18
2022-01-02T00:00:00Z,16:32:00,Sunday,Operations - Operator,12
2022-01-02T00:00:00Z,16:34:00,Sunday,Operations - Operator,22
2022-01-02T00:00:00Z,16:37:00,Sunday,Mechanical,15
2022-01-02T00:00:00Z,16:37:00,Sunday,Operations - Operator,8
2022-01-02T00:00:00Z,16:43:00,Sunday,Operations - Operator,4
2022-01-02T00:00:00Z,16:50:00,Sunday,Operations - Operator,4
2022-01-02T00:00:00Z,16:52:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,16:58:00,Sunday,Mechanical,6
2022-01-02T00:00:00Z,17:00:00,Sunday,Operations - Operator,17
2022-01-02T00:00:00Z,17:04:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,17:05:00,Sunday,Operations - Operator,16
2022-01-02T00:00:00Z,17:14:00,Sunday,Operations - Operator,18
2022-01-02T00:00:00Z,17:23:00,Sunday,Operations - Operator,18
2022-01-02T00:00:00Z,17:30:00,Sunday,Operations - Operator,4
2022-01-02T00:00:00Z,17:32:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,17:34:00,Sunday,Collision - TTC,20
2022-01-02T00:00:00Z,17:46:00,Sunday,Mechanical,8
2022-01-02T00:00:00Z,17:49:00,Sunday,Utilized Off Route,10
2022-01-02T00:00:00Z,17:50:00,Sunday,Operations - Operator,30
2022-01-02T00:00:00Z,17:54:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,17:55:00,Sunday,Utilized Off Route,6
2022-01-02T00:00:00Z,18:10:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,18:20:00,Sunday,Operations - Operator,8
2022-01-02T00:00:00Z,18:29:00,Sunday,Operations - Operator,8
2022-01-02T00:00:00Z,18:34:00,Sunday,Mechanical,16
2022-01-02T00:00:00Z,18:42:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,18:42:00,Sunday,Operations - Operator,12
2022-01-02T00:00:00Z,18:42:00,Sunday,Collision - TTC,8
2022-01-02T00:00:00Z,18:44:00,Sunday,Operations - Operator,8
2022-01-02T00:00:00Z,18:52:00,Sunday,Operations - Operator,8
2022-01-02T00:00:00Z,19:12:00,Sunday,Mechanical,7
2022-01-02T00:00:00Z,19:12:00,Sunday,Operations - Operator,9
2022-01-02T00:00:00Z,19:17:00,Sunday,Mechanical,16
2022-01-02T00:00:00Z,19:25:00,Sunday,Mechanical,7
2022-01-02T00:00:00Z,19:32:00,Sunday,Mechanical,8
2022-01-02T00:00:00Z,20:08:00,Sunday,Operations - Operator,20
2022-01-02T00:00:00Z,20:30:00,Sunday,Mechanical,30
2022-01-02T00:00:00Z,20:37:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,20:47:00,Sunday,Utilized Off Route,20
2022-01-02T00:00:00Z,21:00:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,21:01:00,Sunday,Security,10
2022-01-02T00:00:00Z,21:33:00,Sunday,Mechanical,20
2022-01-02T00:00:00Z,22:00:00,Sunday,Utilized Off Route,10
2022-01-02T00:00:00Z,22:06:00,Sunday,Mechanical,20
2022-01-02T00:00:00Z,22:35:00,Sunday,Security,13
2022-01-02T00:00:00Z,22:39:00,Sunday,Emergency Services,10
2022-01-02T00:00:00Z,23:01:00,Sunday,Diversion,50
2022-01-02T00:00:00Z,23:18:00,Sunday,Road Blocked - NON-TTC Collision,78
2022-01-02T00:00:00Z,00:10:00,Sunday,Emergency Services,10
2022-01-02T00:00:00Z,00:20:00,Sunday,Mechanical,10
2022-01-02T00:00:00Z,00:45:00,Sunday,Operations - Operator,10
2022-01-02T00:00:00Z,00:55:00,Sunday,Utilized Off Route,11
2022-01-02T00:00:00Z,01:34:00,Sunday,Investigation,19
2022-01-02T00:00:00Z,01:55:00,Sunday,Operations - Operator,0
2022-01-03T00:00:00Z,02:06:00,Monday,Collision - TTC,0
2022-01-03T00:00:00Z,02:11:00,Monday,Operations - Operator,30
2022-01-03T00:00:00Z,02:43:00,Monday,Utilized Off Route,15
2022-01-03T00:00:00Z,02:45:00,Monday,Emergency Services,0
2022-01-03T00:00:00Z,03:00:00,Monday,Utilized Off Route,7
2022-01-03T00:00:00Z,03:23:00,Monday,Operations - Operator,30
2022-01-03T00:00:00Z,03:23:00,Monday,Operations - Operator,60
2022-01-03T00:00:00Z,04:28:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,04:47:00,Monday,Operations - Operator,24
2022-01-03T00:00:00Z,04:53:00,Monday,Operations - Operator,20
2022-01-03T00:00:00Z,04:55:00,Monday,Operations - Operator,15
2022-01-03T00:00:00Z,05:02:00,Monday,Operations - Operator,10
2022-01-03T00:00:00Z,05:04:00,Monday,Operations - Operator,24
2022-01-03T00:00:00Z,05:08:00,Monday,Operations - Operator,15
2022-01-03T00:00:00Z,05:22:00,Monday,Operations - Operator,6
2022-01-03T00:00:00Z,05:30:00,Monday,Operations - Operator,9
2022-01-03T00:00:00Z,05:35:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,05:37:00,Monday,Operations - Operator,21
2022-01-03T00:00:00Z,05:37:00,Monday,Operations - Operator,14
2022-01-03T00:00:00Z,05:38:00,Monday,Operations - Operator,35
2022-01-03T00:00:00Z,05:44:00,Monday,Operations - Operator,10
2022-01-03T00:00:00Z,05:45:00,Monday,Operations - Operator,9
2022-01-03T00:00:00Z,05:46:00,Monday,Operations - Operator,8
2022-01-03T00:00:00Z,05:47:00,Monday,Operations - Operator,10
2022-01-03T00:00:00Z,05:50:00,Monday,Operations - Operator,12
2022-01-03T00:00:00Z,05:50:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,05:51:00,Monday,Operations - Operator,4
2022-01-03T00:00:00Z,05:52:00,Monday,Operations - Operator,6
2022-01-03T00:00:00Z,05:57:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,06:00:00,Monday,Operations - Operator,4
2022-01-03T00:00:00Z,06:02:00,Monday,Operations - Operator,9
2022-01-03T00:00:00Z,06:04:00,Monday,Operations - Operator,6
2022-01-03T00:00:00Z,06:04:00,Monday,Operations - Operator,14
2022-01-03T00:00:00Z,06:07:00,Monday,Operations - Operator,13
2022-01-03T00:00:00Z,06:08:00,Monday,Operations - Operator,10
2022-01-03T00:00:00Z,06:11:00,Monday,Operations - Operator,20
2022-01-03T00:00:00Z,06:13:00,Monday,Operations - Operator,7
2022-01-03T00:00:00Z,06:13:00,Monday,Road Blocked - NON-TTC Collision,72
2022-01-03T00:00:00Z,06:14:00,Monday,Operations - Operator,5
2022-01-03T00:00:00Z,06:14:00,Monday,Mechanical,17
2022-01-03T00:00:00Z,06:17:00,Monday,Mechanical,10
2022-01-03T00:00:00Z,06:17:00,Monday,Operations - Operator,14
2022-01-03T00:00:00Z,06:20:00,Monday,Operations - Operator,20
2022-01-03T00:00:00Z,06:20:00,Monday,Mechanical,11
2022-01-03T00:00:00Z,06:22:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,06:24:00,Monday,Operations - Operator,8
2022-01-03T00:00:00Z,06:25:00,Monday,Collision - TTC,10
2022-01-03T00:00:00Z,06:29:00,Monday,Operations - Operator,11
2022-01-03T00:00:00Z,06:30:00,Monday,Operations - Operator,14
2022-01-03T00:00:00Z,06:31:00,Monday,Operations - Operator,6
2022-01-03T00:00:00Z,06:31:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,06:32:00,Monday,Operations - Operator,12
2022-01-03T00:00:00Z,06:32:00,Monday,Operations - Operator,11
2022-01-03T00:00:00Z,06:33:00,Monday,Mechanical,5
2022-01-03T00:00:00Z,06:34:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,06:36:00,Monday,Mechanical,4
2022-01-03T00:00:00Z,06:36:00,Monday,Mechanical,9
2022-01-03T00:00:00Z,06:37:00,Monday,Mechanical,5
2022-01-03T00:00:00Z,06:37:00,Monday,Operations - Operator,9
2022-01-03T00:00:00Z,06:39:00,Monday,Operations - Operator,10
2022-01-03T00:00:00Z,06:42:00,Monday,Operations - Operator,11
2022-01-03T00:00:00Z,06:50:00,Monday,Operations - Operator,7
2022-01-03T00:00:00Z,06:52:00,Monday,Mechanical,10
2022-01-03T00:00:00Z,06:57:00,Monday,Emergency Services,15
2022-01-03T00:00:00Z,06:57:00,Monday,Operations - Operator,11
2022-01-03T00:00:00Z,06:59:00,Monday,Mechanical,7
2022-01-03T00:00:00Z,06:59:00,Monday,Mechanical,30
2022-01-03T00:00:00Z,07:00:00,Monday,Mechanical,6
2022-01-03T00:00:00Z,07:00:00,Monday,Operations - Operator,15
2022-01-03T00:00:00Z,07:02:00,Monday,Collision - TTC,7
2022-01-03T00:00:00Z,07:03:00,Monday,Mechanical,10
2022-01-03T00:00:00Z,07:03:00,Monday,Operations - Operator,8
2022-01-03T00:00:00Z,07:04:00,Monday,Operations - Operator,10
2022-01-03T00:00:00Z,07:09:00,Monday,Operations - Operator,0
2022-01-03T00:00:00Z,07:09:00,Monday,Mechanical,6
2022-01-03T00:00:00Z,07:19:00,Monday,Operations - Operator,7
2022-01-03T00:00:00Z,07:19:00,Monday,Mechanical,15
2022-01-03T00:00:00Z,07:26:00,Monday,Mechanical,9
2022-01-03T00:00:00Z,07:26:00,Monday,Mechanical,5
2022-01-03T00:00:00Z,07:33:00,Monday,Mechanical,5
2022-01-03T00:00:00Z,07:47:00,Monday,Operations - Operator,17
2022-01-03T00:00:00Z,07:47:00,Monday,Diversion,79
2022-01-03T00:00:00Z,07:57:00,Monday,Mechanical,10
2022-01-03T00:00:00Z,07:57:00,Monday,Mechanical,32
2022-01-03T00:00:00Z,08:02:00,Monday,Mechanical,7
2022-01-03T00:00:00Z,08:10:00,Monday,Mechanical,17
2022-01-03T00:00:00Z,08:23:00,Monday,Mechanical,6
2022-01-03T00:00:00Z,08:28:00,Monday,Mechanical,9
2022-01-03T00:00:00Z,08:34:00,Monday,Mechanical,13
2022-01-03T00:00:00Z,08:43:00,Monday,Collision - TTC,6
2022-01-03T00:00:00Z,08:45:00,Monday,Operations - Operator,4
2022-01-03T00:00:00Z,08:50:00,Monday,Utilized Off Route,0
2022-01-03T00:00:00Z,08:50:00,Monday,Collision - TTC,10
2022-01-03T00:00:00Z,08:53:00,Monday,Mechanical,5
2022-01-03T00:00:00Z,09:02:00,Monday,Mechanical,9
2022-01-03T00:00:00Z,09:06:00,Monday,Operations - Operator,4
2022-01-03T00:00:00Z,09:06:00,Monday,Operations - Operator,24
2022-01-03T00:00:00Z,09:07:00,Monday,Operations - Operator,8
2022-01-03T00:00:00Z,09:11:00,Monday,Operations - Operator,20
2022-01-03T00:00:00Z,09:17:00,Monday,Operations - Operator,20
2022-01-03T00:00:00Z,09:22:00,Monday,Operations - Operator,30
2022-01-03T00:00:00Z,09:26:00,Monday,Operations - Operator,20
2022-01-03T00:00:00Z,09:32:00,Monday,Operations - Operator,20
2022-01-03T00:00:00Z,09:41:00,Monday,Collision - TTC,0
2022-01-03T00:00:00Z,09:51:00,Monday,Operations - Operator,0
2022-01-03T00:00:00Z,10:00:00,Monday,Collision - TTC,14
2022-01-03T00:00:00Z,10:11:00,Monday,Operations - Operator,9
2022-01-03T00:00:00Z,10:28:00,Monday,Operations - Operator,5
2022-01-03T00:00:00Z,10:31:00,Monday,Operations - Operator,10
2022-01-03T00:00:00Z,10:39:00,Monday,Collision - TTC,23
2022-01-03T00:00:00Z,10:47:00,Monday,Security,10
2022-01-03T00:00:00Z,10:49:00,Monday,Mechanical,20
2022-01-03T00:00:00Z,10:57:00,Monday,Operations - Operator,18
2022-01-03T00:00:00Z,11:14:00,Monday,Investigation,10
2022-01-03T00:00:00Z,11:25:00,Monday,Operations - Operator,9
2022-01-03T00:00:00Z,11:39:00,Monday,Road Blocked - NON-TTC Collision,10
2022-01-03T00:00:00Z,11:43:00,Monday,Mechanical,5
2022-01-03T00:00:00Z,12:02:00,Monday,Mechanical,9
2022-01-03T00:00:00Z,12:03:00,Monday,Operations - Operator,12
2022-01-03T00:00:00Z,12:10:00,Monday,Operations - Operator,7
2022-01-03T00:00:00Z,12:18:00,Monday,Operations - Operator,23
2022-01-03T00:00:00Z,12:21:00,Monday,Operations - Operator,12
2022-01-03T00:00:00Z,12:40:00,Monday,Operations - Operator,30
2022-01-03T00:00:00Z,12:43:00,Monday,Operations - Operator,13
